Year	Count	DataSetType	Type
2013	62	methylation profiling by high throughput sequencing	sequencing
2014	89	methylation profiling by high throughput sequencing	sequencing
2015	132	methylation profiling by high throughput sequencing	sequencing
2016	123	methylation profiling by high throughput sequencing	sequencing
2017	146	methylation profiling by high throughput sequencing	sequencing
2018	160	methylation profiling by high throughput sequencing	sequencing
2019	207	methylation profiling by high throughput sequencing	sequencing
2020	186	methylation profiling by high throughput sequencing	sequencing
2021	202	methylation profiling by high throughput sequencing	sequencing
2022	195	methylation profiling by high throughput sequencing	sequencing
2023	443	methylation profiling by high throughput sequencing	sequencing
2000	0	non coding rna profiling by high throughput sequencing	sequencing
2001	0	non coding rna profiling by high throughput sequencing	sequencing
2002	0	non coding rna profiling by high throughput sequencing	sequencing
2003	0	non coding rna profiling by high throughput sequencing	sequencing
2004	0	non coding rna profiling by high throughput sequencing	sequencing
2005	0	non coding rna profiling by high throughput sequencing	sequencing
2006	0	non coding rna profiling by high throughput sequencing	sequencing
2007	0	non coding rna profiling by high throughput sequencing	sequencing
2008	3	non coding rna profiling by high throughput sequencing	sequencing
2009	11	non coding rna profiling by high throughput sequencing	sequencing
2010	24	non coding rna profiling by high throughput sequencing	sequencing
2011	34	non coding rna profiling by high throughput sequencing	sequencing
2012	49	non coding rna profiling by high throughput sequencing	sequencing
2013	83	non coding rna profiling by high throughput sequencing	sequencing
2014	95	non coding rna profiling by high throughput sequencing	sequencing
2015	124	non coding rna profiling by high throughput sequencing	sequencing
2016	218	non coding rna profiling by high throughput sequencing	sequencing
2017	164	non coding rna profiling by high throughput sequencing	sequencing
2018	242	non coding rna profiling by high throughput sequencing	sequencing
2019	249	non coding rna profiling by high throughput sequencing	sequencing
2020	335	non coding rna profiling by high throughput sequencing	sequencing
2021	475	non coding rna profiling by high throughput sequencing	sequencing
2022	475	non coding rna profiling by high throughput sequencing	sequencing
2023	403	non coding rna profiling by high throughput sequencing	sequencing
